"date","event","potentially_confounding_news","source","severity","notes"
"2023-12-29","alaska","Chinese airlines had returned existing 737 MAX fleets to service","https://uk.marketscreener.com/quote/stock/BOEING-4816/news/Boeing-says-Chinese-airlines-resumed-operating-all-737-MAXs-in-2023-45647593/","medium","Reuters; operations recovery, not resumption of new deliveries."
"2023-12-29","alaska","Continued reporting on MAX rudder-control loose-bolt inspections","https://apnews.com/article/79459f4b49da29c3c4847b3bd772f62c","medium","AP Dec29; original FAA announcement Dec28 outside window."
"2024-01-02","alaska","Goldman Sachs removed Boeing from conviction list","https://www.brecorder.com/news/amp/40281732","medium","Reuters syndicated Jan3, describing Jan2 trading."
"2024-01-03","alaska","FAA directive concerning 787 flight-attendant seat fittings published","https://www.govinfo.gov/content/pkg/FR-2024-01-03/pdf/FR-2024-01-03.pdf","low","Federal Register p246 onward; routine regulatory development."
"2024-01-05","alaska","Renewed reporting on requested MAX 7 anti-ice safety exemption","https://apnews.com/article/10be423759080f64d4418019e4e4874d","medium","AP 22:40 UTC; after close, distinct from subsequent door-plug incident."
"2024-01-06","alaska","FAA grounded affected MAX 9 aircraft after Jan5 incident","https://www.faa.gov/newsroom/updates-boeing-737-9-max-aircraft","high","Weekend response bundled into first tradable Jan8; related treatment/mediator, not unrelated confounder."
"2024-01-08","alaska","United and Alaska reported loose hardware on other MAX 9 aircraft","https://finance.yahoo.com/news/alaska-airlines-jet-had-three-053837009.html","high","Reuters; broader quality concerns. Some updates after close; daily attribution uncertain."
"2024-01-09","alaska","Boeing reported 2023 deliveries and annual orders","https://www.marketscreener.com/quote/stock/BOEING-4816/news/Boeing-hits-2023-jet-delivery-goal-in-blockbuster-sales-year-45707268/","medium","Reuters; scheduled operating disclosure alongside incident response."
"2024-01-09","alaska","FAA required revised inspection instructions; grounding continued","https://www.faa.gov/newsroom/updates-boeing-737-9-max-aircraft","high","Dated Jan9 entry; related regulatory response."
"2024-01-11","alaska","FAA announced manufacturing-compliance investigation","https://www.faa.gov/newsroom/updates-boeing-737-9-max-aircraft","high","Public Jan11 announcement; investigation letter Jan10; related response."
"2024-01-12","alaska","FAA announced production audit and increased oversight","https://www.faa.gov/newsroom/faa-increasing-oversight-boeing-production-and-manufacturing","high","Related response. Distinct from Jan24 production-expansion cap outside this window."
"2024-01-15","alaska","Boeing announced additional quality and supplier checks","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56928/pdf/CHRG-118hhrg56928.pdf","medium","Congressional chronology; MLK holiday, potential next-session response Jan16."
"2024-01-16","alaska","Boeing appointed independent quality-review adviser","https://investors.boeing.com/investors/news/press-release-details/2024/Boeing-Names-Independent-Advisor-to-Lead-Comprehensive-Quality-Review/default.aspx","medium","Official Boeing announcement; related response."
"2024-06-11","hearing","Boeing disclosed 24 May deliveries versus 50 a year earlier","https://www.marketscreener.com/quote/stock/BOEING-4816/news/Boeing-plane-deliveries-drop-by-half-in-May-year-on-year-46949591/","high","Reuters 11:00 EDT; operating disclosure."
"2024-06-11","hearing","Reporting that Starliner return delayed to no earlier than June18","https://www.marketscreener.com/quote/stock/BOEING-4816/news/NASA-Boeing-push-back-Starliner-s-crewed-return-to-June-18-46951941/","medium","Reuters 18:48 EDT after close; first disclosure may precede report."
"2024-06-12","hearing","Boeing reportedly disputed DOJ finding of compliance-agreement breach","https://ae.marketscreener.com/quote/stock/BOEING-4816/news/Boeing-tells-US-Justice-Department-it-didn-t-violate-deal-after-737-max-crashes-Bloomberg-News-repo-46961630/","medium","Reuters relay of Bloomberg; Jun13 UAE timestamp corresponds to Jun12 US."
"2024-06-13","hearing","Incorrect fasteners investigated on undelivered 787 aircraft","https://www.marketscreener.com/quote/stock/BOEING-4816/news/Boeing-investigates-quality-problem-on-undelivered-787s-sources-say-46969598/","high","Reuters 14:06 EDT; Boeing expected limited to no delivery impact."
"2024-06-14","hearing","FAA investigated authenticity documents for titanium used in Boeing and Airbus jets","https://finance.yahoo.com/news/faa-investigating-counterfeit-titanium-used-110829474.html","high","Reuters; supplier issue affecting peers too; false paperwork is not proof of unsafe material."
"2024-06-14","hearing","Boeing reportedly postponed 737 supplier production milestones","https://finance.yahoo.com/news/exclusive-boeing-tells-suppliers-slowing-193219716.html","high","Reuters; supplier plan not actual production or FAA authorization."
"2024-06-14","hearing","NTSB investigation of Southwest MAX Dutch-roll event announced","https://au.marketscreener.com/quote/stock/BOEING-4816/news/US-NTSB-investigating-Dutch-roll-by-Southwest-Boeing-737-MAX-46978041/","medium","Reuters dateline Jun14; flight occurred May25; no inference of manufacturing fault."
"2024-06-14","hearing","Starliner return target moved to no earlier than June22","https://www.boeing.com/space/starliner/mission-updates/2024/06/nasa--boeing-target-june-22-for-flight-crew-test-return","medium","Official Boeing mission update."
"2024-06-17","hearing","Prepared Calhoun testimony acknowledging imperfect safety culture became public","https://www.aol.com/news/boeing-ceo-tell-us-congress-183907694.html","high","Reuters 21:15 UTC after close; anticipation of focal hearing."
